h1,p
Código Penal AguascalientesArtículo 141. Robo Equiparado,"Se aplicarán de 4 a 6 años de prisión y de 200 a 400 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando se cometa en cualquiera de los supuestos de las Fracciones II y III."
Código Penal AguascalientesArtículo 141. Robo Equiparado,"Se aplicarán de 2 a 4 años de prisión y de 100 a 300 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial exceda de cien veces el valor diario de la unidad de medida y actualización; y de 6 meses a 2 años y de 50 a 150 días de multa cuando el valor de la afectación patrimonial no exceda de cien veces el valor diario de la unidad de medida y actualización, cuando se cometa en cualquiera de los supuestos previstos en la Fracciones IV y V."
Código Penal AguascalientesArtículo 142. Robo Calificado,El Robo será Calificado cuando:
Código Penal AguascalientesArtículo 142. Robo Calificado,"I. Se cometa con medios violentos como armas o uso de violencia física o moral, suficiente en contra de la víctima o sobre otra persona que la acompañe, o cuando se ejerza aquélla para proporcionarse la fuga o mantenerse con lo apropiado;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"II. El objeto material del apoderamiento sea un expediente o algún documento de protocolo, oficina o archivo públicos, o de documento que contenga obligación, liberación o transmisión de derechos que obre en un expediente judicial;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"III. Se cometa en lugar cerrado o en edificio, vivienda, aposento o cuarto que estén habitados o destinados para habitación, o en sus dependencias;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"IV. Se cometa aprovechando la falta de vigilancia, el desorden o confusión que se produzcan por un incendio, inundación o accidentes en el tránsito de vehículos o aeronaves, u otros siniestros;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"V. El objeto material del apoderamiento sean tubos, conexiones, tapas de registro o cualesquiera otros implementos de un servicio público u otros objetos que estén bajo la salvaguarda pública;"
Código Penal AguascalientesArtículo 142. Robo Calificado,VI. Se lleve a cabo con destrucción o deterioro de bienes muebles o inmuebles;
Código Penal AguascalientesArtículo 142. Robo Calificado,"VII. La acción de apoderamiento se realice respecto de vehículos de motor, sobre parte de ellos o de objetos guardados en su interior;"
Código Penal AguascalientesArtículo 142. Robo Calificado,VIII. Se cometa en local comercial abierto al público;
Código Penal AguascalientesArtículo 142. Robo Calificado,"IX. El objeto material del apoderamiento sean instrumentos de labranza, objetos utilizados para cercar frutos cosechados o por cosechar;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"X. El objeto material del apoderamiento sean postes, alambres u otros materiales de las cercas de los sembradíos o potreros, dejando éstos al descubierto en todo o en parte;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"XI. Se lleve a cabo el apoderamiento mediante el uso de sistemas de informática, sistema de redes de computadoras, base de datos, soporte lógico o programas de cómputo;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"XII. El apoderamiento se realice respecto de vehículos de transporte público de pasajeros, sobre parte de ello o sobre los bienes a cargo o disposición de su conductor o pasajeros;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"XIII. El objeto material del apoderamiento sean cables, conexiones u otros materiales que formen parte integrante de alguna o algunas instalaciones eléctricas;"
Código Penal AguascalientesArtículo 142. Robo Calificado,"XIV. El objeto material del apoderamiento sea cableado para conducir electricidad, transformadores de voltaje de energía eléctrica, equipos de bombeo o de alguno de sus componentes, siempre que sean parte del sistema de riego agrícola;"
Código Penal AguascalientesArtículo 142. Robo Calificado,XV. Se lleve a cabo bajo los supuestos establecidos en las Fracciones II o III del Artículo 141;
Código Penal AguascalientesArtículo 142. Robo Calificado,"XVI. El objeto material del apoderamiento sean vales de papel o cualquier dispositivo electrónico en forma de tarjeta plástica, asociados a un sistema de pagos y prestaciones laborales, emitidos por persona moral, utilizados para intercambiar o canjear bienes y servicios;"
Código Penal AguascalientesArtículo 142. Robo Calificado,XVII. Se lleve a cabo dentro de las instalaciones de templos o lugares destinados a culto religioso;
Código Penal AguascalientesArtículo 142. Robo Calificado,"XVIII. El objeto del apoderamiento sea sustraído del interior de las instalaciones de instituciones educativas públicas o privadas, o sea parte integrante de ellas; o"
Código Penal AguascalientesArtículo 142. Robo Calificado,"XIX. Se cometa en contra de persona con discapacidad o de más de sesenta años de edad. Para los efectos de este Código se entiende por persona con discapacidad, aquella que por razón congénita o adquirida presenta una o más alteraciones funcionales de carácter físico, mental, intelectual o sensorial, ya sean permanentes o temporales, que impliquen desventajas considerables en su interacción con el entorno social."
Código Penal AguascalientesArtículo 142. Robo Calificado,Al responsable de Robo Calificado se le aplicará hasta en una mitad más de los mínimos y máximos previstos para el tipo penal de Robo.
Código Penal AguascalientesArtículo 142. Robo Calificado,"Si concurren dos o más calificativas, la punibilidad se aumenta hasta las dos terceras partes de los mínimos y máximos previstos para el tipo penal de Robo."
Código Penal AguascalientesArtículo 143. Abigeato,El Abigeato consiste en:
Código Penal AguascalientesArtículo 143. Abigeato,"I. El apoderamiento de una o más cabezas de ganado ajeno, cualquiera que sea su especie, independientemente del lugar en el que se encuentren, sin consentimiento de quien legalmente pueda disponer de las mismas; o"
Código Penal AguascalientesArtículo 143. Abigeato,"II. El apoderamiento de una o más cabezas de ganado propio, cualquiera que sea su especie, que se halle en poder de otro, en virtud de una relación contractual o por mandamiento de autoridad, en la medida que ello afecte el patrimonio de quien las detente."
Código Penal AguascalientesArtículo 143. Abigeato,"Al responsable de Abigeato contemplado en la Fracción I se le aplicarán de 4 a 10 años de prisión y de 150 a 300 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 143. Abigeato,"Al responsable de Abigeato contemplado en la Fracción II se le aplicarán de 3 a 10 años de prisión y de 150 a 500 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 143. Abigeato,"Se considerará ganado, para los efectos de este delito, a las especies: bovina, caballar, asnal, mular, ovina, caprina, porcina o de una o más colonias de abejas en un apiario; así como aquél domesticado, bravo, de pezuña, ganado mayor o ganado menor, independientemente de la actividad típica del animal"
Código Penal AguascalientesArtículo 144. Abigeato calificado,El Abigeato será calificado cuando:
Código Penal AguascalientesArtículo 144. Abigeato calificado,I. Se cometa aprovechando la falta de vigilancia sobre las cabezas de ganado objeto del apoderamiento;
Código Penal AguascalientesArtículo 144. Abigeato calificado,"II. Se cometa con medios violentos como armas o uso de violencia física o moral suficiente en contra de la víctima o sobre la persona que esté encargada de la vigilancia de la o las cabezas de ganado, o cuando se ejerza aquella para proporcionarse la fuga o mantenerse con lo apropiado;"
Código Penal AguascalientesArtículo 144. Abigeato calificado,III. Cuando la afectación patrimonial producida sea el equivalente al valor del veinte por ciento o más de los animales propiedad de la víctima.
Código Penal AguascalientesArtículo 144. Abigeato calificado,"IV. Al que, con ánimo de apropiársela, se apodere de una o más cabezas de ganado ajeno, alterando o eliminando las marcas o señales de identificación; o"
Código Penal AguascalientesArtículo 144. Abigeato calificado,"V. Se cometa por quien tenga una relación contractual, laboral, o de parentesco por consanguinidad o afinidad hasta el cuarto grado con el propietario del ganado."
Código Penal AguascalientesArtículo 144. Abigeato calificado,VI. Se cometa por un servidor público.
Código Penal AguascalientesArtículo 144. Abigeato calificado,Al responsable de Abigeato Calificado se le aplicará hasta en dos terceras partes más de los mínimos y máximos previstos para el tipo penal de Abigeato.
Código Penal AguascalientesArtículo 145. Abigeato equiparado,Se equipara al Abigeato:
Código Penal AguascalientesArtículo 145. Abigeato equiparado,"I. Al que, con ánimo de apropiársela, altere o elimine las marcas o señales de identificación de una o más cabezas de ganado ajeno;"
Código Penal AguascalientesArtículo 145. Abigeato equiparado,"II. Al que, sin tener la posesión del ganado y con ánimo de apropiársela, altere o elimine las marcas o señales de identificación; o"
Código Penal AguascalientesArtículo 145. Abigeato equiparado,"III. Al que, proceda al sacrificio de ganado, sin el consentimiento de quien legalmente pueda otorgarlo;"
Código Penal AguascalientesArtículo 145. Abigeato equiparado,"Al responsable de Abigeato Equiparado se le aplicarán de 2 a 8 años de prisión y de 150 a 350 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 146. Abuso de confianza,El Abuso de Confianza consiste en:
Código Penal AguascalientesArtículo 146. Abuso de confianza,"I. Disponer para sí o para otro, con perjuicio de alguien, de una cantidad de dinero, de un documento que importe obligación, liberación o transmisión de derechos, o de cualquier otra cosa ajena mueble, de la que se le haya transmitido la tenencia y no el dominio;"
Código Penal AguascalientesArtículo 146. Abuso de confianza,"II. El disponer o substraer una cosa, su dueño, si le ha sido embargada y la tiene en su poder con el carácter de depositario judicial, y no la ponga a disposición de un nuevo depositario, cuando sea legalmente requerido para ello, y esto provoque menoscabo patrimonial a la parte actora en el litigio correspondiente, o a un tercero;"
Código Penal AguascalientesArtículo 146. Abuso de confianza,"III. El no hacer entrega de la cosa embargada el depositario judicial o el designado por o ante la autoridad judicial, administrativa o del trabajo, que no sea el dueño de la misma, al ser requerido legalmente; o"
Código Penal AguascalientesArtículo 146. Abuso de confianza,"IV. El disponer para sí o para otro de una o más cabezas de ganado, cualquiera que sea su especie, con perjuicio de alguien, de las cuales se le haya transmitido la tenencia y no el dominio, o bien se las hayan entregado para su custodia."
Código Penal AguascalientesArtículo 146. Abuso de confianza,Al responsable de Abuso de Confianza se le aplicarán de:
Código Penal AguascalientesArtículo 146. Abuso de confianza,"I.6 Meses a 2 años de prisión y de 15 a 100 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial no exceda de cien veces el valor diario de la Unidad de Medida y Actualización;"
Código Penal AguascalientesArtículo 146. Abuso de confianza,"II. 2 a 4 años de prisión y de 100 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial exceda de cien veces el valor diario de la Unidad de Medida y Actualización, pero no de trescientas; o"
Código Penal AguascalientesArtículo 146. Abuso de confianza,"III. 4 a 10 años de prisión y de 150 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial exceda de trescientas veces el valor diario de la Unidad de Medida y Actualización."
Código Penal AguascalientesArtículo 146. Abuso de confianza,La valoración que se haga de la afectación patrimonial tomará en consideración el valor diario de la Unidad de Medida y Actualización vigente en el momento en que se concreticen los hechos descritos en el presente Artículo
Código Penal AguascalientesArtículo 147. Fraude,El Fraude consiste en:
Código Penal AguascalientesArtículo 147. Fraude,"I. El obtener ilícitamente una cosa o alcanzar un lucro indebido, para sí o para otro, engañando a la víctima o aprovechándose del error o la ignorancia en que se encuentre;"
Código Penal AguascalientesArtículo 147. Fraude,"II. El enajenar por título oneroso alguna cosa, con conocimiento de que no se tiene derecho a disponer legalmente de ella, si se recibió el precio, el alquiler, la cantidad en que la grave, parte de ellos o una ganancia equivalente;"
Código Penal AguascalientesArtículo 147. Fraude,"III. El obtener de otro una cantidad de dinero o cualquier otro lucro, al otorgarle o endosarle a nombre propio o de otro, un documento nominativo, a la orden o al portador, contra una persona supuesta o que el otorgante o endosante sabe que no ha de pagarse;"
Código Penal AguascalientesArtículo 147. Fraude,IV. El admitir un servicio u obtener alguna cosa en cualquier establecimiento comercial de bienes o de servicios y no pagar el importe que corresponda;
Código Penal AguascalientesArtículo 147. Fraude,"V. El no hacer la entrega de una cosa mueble, objeto de una compraventa, el que la hubiese vendido, no obstante haber recibido su precio o parte de él, o no devolver su precio cuando el comprador se lo exija, o no entregar la cosa en la cantidad o calidad convenidas;"
Código Penal AguascalientesArtículo 147. Fraude,"VI. El emplear el fabricante, empresario, contratista o constructor de una obra cualquiera, en la construcción de la misma, materiales en calidad o cantidad inferior a la convenida o prometida, o mano de obra de inferior calidad a la estipulada u ofrecida, si han recibido el precio o parte de él;"
Código Penal AguascalientesArtículo 147. Fraude,"VII. El provocar deliberadamente cualquier acontecimiento que pudiere considerarse como fortuito o de fuerza mayor, para liberarse de obligaciones o cobrar fianzas o seguros a favor del inculpado;"
Código Penal AguascalientesArtículo 147. Fraude,"VIII. El obtener dinero, valores, dádivas u obsequios el servidor público del Estado, de un organismo público descentralizado, de una empresa de participación estatal o de cualquier agrupación sindical, al prometer a la víctima un trabajo, un ascenso, un aumento de salario u otras prestaciones en tales organismos, sin cumplir con ello;"
Código Penal AguascalientesArtículo 147. Fraude,"IX. El alterar cuentas o condiciones de los contratos; hacer operaciones o gastos inexistentes o exagerar los reales; ocultar o retener valores o emplearlos indebidamente, el que por cualquier razón tuviere a su cargo la administración o cuidado de bienes ajenos, perjudicando al titular de éstos;"
Código Penal AguascalientesArtículo 147. Fraude,"X. El obtener un beneficio indebido mediante la simulación de un acto jurídico, de un acto o escrito judiciales, o mediante la alteración de elementos de prueba, en perjuicio de otro, y que estén claramente demostrados tales hechos en el procedimiento relativo ante la autoridad judicial; o"
Código Penal AguascalientesArtículo 147. Fraude,"XI. Obtener un lucro indebido o una prestación que no le corresponda a un particular, por utilizar una credencial, identificación o nombramiento que no le pertenezca y que lo acredite como servidor público;"
Código Penal AguascalientesArtículo 147. Fraude,"XII. Causar un perjuicio público o privado por sí o por interpósita persona, al fraccionar, enajenar o comprometerse a enajenar, la propiedad, la posesión o cualquier derecho sobre un lote de terreno urbano o rústico, propio o ajeno, con o sin construcciones, sin el previo permiso de las autoridades competentes, o cuando existiendo éste no se hayan satisfecho los requisitos en tal permiso señalados;"
Código Penal AguascalientesArtículo 147. Fraude, | Al responsable de Fraude se le aplicarán de:
Código Penal AguascalientesArtículo 147. Fraude,"I.6 Meses a 2 años de prisión y de 15 a 100 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial no exceda de cien veces el valor diario de la Unidad de Medida y Actualización;"
Código Penal AguascalientesArtículo 147. Fraude,"II. 2 a 4 años de prisión y de 100 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial exceda de cien veces el valor diario de la Unidad de Medida y Actualización, pero no de trescientas; o"
Código Penal AguascalientesArtículo 147. Fraude,"III. 4 a 10 años de prisión y de 150 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de la afectación patrimonial exceda de trescientas veces el valor diario de la Unidad de Medida y Actualización."
Código Penal AguascalientesArtículo 147. Fraude,La valoración que se haga de la afectación patrimonial tomará en consideración el valor diario de la Unidad de Medida y Actualización vigente en el momento en que se concreticen los hechos descritos en el presente Artículo
Código Penal AguascalientesArtículo 148. Usura,La Usura consiste en:
Código Penal AguascalientesArtículo 148. Usura,"I. Obtener para sí o para otro, al celebrar un acto jurídico de carácter económico, independientemente de su naturaleza, un interés convencional evidente o encubierto, que exceda a un treinta y siete por ciento anual; o"
Código Penal AguascalientesArtículo 148. Usura,"II. Obtener del deudor o sus garantes, al celebrar un acto jurídico accesorio derivado del negocio principal, un interés evidente o encubierto, que por sí o sumado al principal exceda a un treinta y siete por ciento anual."
Código Penal AguascalientesArtículo 148. Usura,"Al responsable del delito de usura se le aplicarán de 2 a 8 años de prisión y de 25 a 250 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 149. Extorsión,"La Extorsión consiste en la obtención de un lucro para sí o para otro, causando un perjuicio patrimonial a la víctima, al obligarlo, sin derecho, mediante uso de la fuerza física o moral, a hacer, tolerar o dejar de hacer algo."
Código Penal AguascalientesArtículo 149. Extorsión,"Al responsable de Extorsión se le aplicarán, además de la pena de decomiso, de:"
Código Penal AguascalientesArtículo 149. Extorsión,"I.4 a 10 años de prisión y de 50 a 350 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados;"
Código Penal AguascalientesArtículo 149. Extorsión,"II. 7 a 13 años de prisión y de 75 a 400 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si se comete:"
Código Penal AguascalientesArtículo 149. Extorsión,a) En contra de adulto mayor de sesenta años de edad;
Código Penal AguascalientesArtículo 149. Extorsión,"b) Utilizando como medio comisivo la vía telefónica, el correo electrónico o cualquier otro medio de comunicación electrónica; o"
Código Penal AguascalientesArtículo 149. Extorsión,c) Desde un Centro de Reeducación Social independientemente de la pena por la que se encuentre recluido.
Código Penal AguascalientesArtículo 149. Extorsión,"III. 10 a 16 años de prisión y de 125 a 500 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, si se realiza por:"
Código Penal AguascalientesArtículo 149. Extorsión,"a) Una asociación delictuosa u ostentarse como miembro de ésta; para los efectos de este inciso, se entenderá como asociación delictuosa toda aquella agrupación o banda de tres o más personas con propósito de delinquir;"
Código Penal AguascalientesArtículo 149. Extorsión,b) Servidor público o ex servidor público; o
Código Penal AguascalientesArtículo 149. Extorsión,"c) Miembro o ex miembro de algún cuerpo policial o de seguridad privada, aunque la empresa de seguridad privada no se hubiere registrado."
Código Penal AguascalientesArtículo 149. Extorsión,"En su caso, si procede se hará la destitución del empleo, cargo o comisión y la inhabilitación de uno a cinco años para desempeñar cualquier cargo como servidor público"
Código Penal AguascalientesArtículo 150. Despojo,El Despojo consiste en:
Código Penal AguascalientesArtículo 150. Despojo,"I. Ocupar de propia autoridad, por medio de la violencia física o furtivamente, de la amenaza o del engaño, un inmueble ajeno o hacer uso de él, o de un derecho real que no le pertenezca, con perjuicio patrimonial de alguien; o impedir materialmente el disfrute de tal bien inmueble o derecho real, con perjuicio patrimonial de alguien;"
Código Penal AguascalientesArtículo 150. Despojo,"II. Ocupar un inmueble propio que se halle en poder de otra persona por alguna causa legítima, o ejercer actos de dominio que lesionen los derechos patrimoniales del legítimo ocupante;"
Código Penal AguascalientesArtículo 150. Despojo,"III. Alterar términos o linderos de predios, o cualquier clase de señales o mojoneras, destinadas a fijar los límites de predios contiguos, tanto de dominio privado como de dominio público;"
Código Penal AguascalientesArtículo 150. Despojo,"IV. Desviar o hacer uso de las aguas propias o ajenas, en los casos en que la ley no lo permita, o hacer uso de un derecho real sobre aguas que no le pertenezcan, con perjuicio patrimonial de alguien; o"
Código Penal AguascalientesArtículo 150. Despojo,"V. Ocupar de propia autoridad, por medio de la violencia física, furtivamente, de la amenaza o del engaño, instalaciones de una institución pública o privada destinada a prestar servicios públicos y se impida su prestación."
Código Penal AguascalientesArtículo 150. Despojo,Al responsable del Despojo se le aplicarán:
Código Penal AguascalientesArtículo 150. Despojo,"I. De 1 a 2 años de prisión y de 15 a 100 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de lo despojado no exceda de tres mil setecientas cincuenta veces el valor diario de la Unidad de Medida y Actualización;"
Código Penal AguascalientesArtículo 150. Despojo,"II. De 2 a 4 años de prisión y de 100 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de lo despojado exceda de tres mil setecientas cincuenta veces el valor diario de la Unidad de Medida y Actualización, pero no de ocho mil; o"
Código Penal AguascalientesArtículo 150. Despojo,"III. De 4 a 6 años de prisión y de 150 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de lo des pojado exceda de ocho mil veces el valor diario de la Unidad de Medida y Actualización."
Código Penal AguascalientesArtículo 150. Despojo,"Se aplicará la misma penalidad en los casos a que se refiere la Fracción V, de este Artículo"
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso,"El Daño en las Cosas Doloso consiste en la destrucción o deterioro de cosa ajena o propia, en perjuicio de otro, por utilización de cualquier medio."
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso, Al
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso,responsable de Daño en las Cosas Doloso se le aplicarán:
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso,"I. De 6 meses a 2 años de prisión y de 15 a 100 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de lo dañado no exceda de cien veces el valor diario de la Unidad de Medida y Actualización;"
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso,"II. De 2 a 4 años de prisión y de 100 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de lo dañado exceda de cien veces el valor diario de la Unidad de Medida y Actualización, pero no de trescientas; o"
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso,"III. De 4 a 10 años de prisión y de 150 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando el valor de lo dañado exceda de trescientas veces el valor diario de la Unidad de Medida y Actualización."
Código Penal AguascalientesArtículo 151. Daño en las cosas doloso,La valoración que se haga de lo dañado tomará en consideración el valor diario de la Unidad de Medida y Actualización vigente en el momento en que se concretice el hecho descrito en el presente Artículo
Código Penal AguascalientesArtículo 152. Aumento de sanción,La punibilidad establecida en el Artículo anterior se aumentará hasta una mitad más respecto de los mínimos y máximos señalados:
Código Penal AguascalientesArtículo 152. Aumento de sanción,"I. Si el daño se causa en bienes con valor científico, artístico o destinados al servicio público;"
Código Penal AguascalientesArtículo 152. Aumento de sanción,"II. Si se utiliza para la destrucción o deterioro de los bienes inundación, incendio o explosión; o"
Código Penal AguascalientesArtículo 152. Aumento de sanción,"III. Si el daño se causa en forma total o parcial respecto de programas, archivos, bases de datos o cualquier otro elemento intangible contenido en sistemas o redes de computadoras, soportes lógicos o cualquier medio magnético"
Código Penal AguascalientesArtículo 153. Atentados a la estética urbana,"Los Atentados a la Estética Urbana consisten en la afectación, no sólo material, sino visual, de bienes inmuebles o muebles, públicos o privados, provocada por pintas, escrituras, dibujos, signos, tallones y/o gráficos de cualquier tipo, que modifiquen o alteren ostensiblemente su estructura o presentación originales."
Código Penal AguascalientesArtículo 153. Atentados a la estética urbana,"Al responsable de Atentados a la Estética Urbana se le aplicarán de 3 meses a 2 años de prisión y de 15 a 30 días multa, y al pago de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 154. Excepción electoral,"Tratándose de propaganda o promoción de partidos o grupos políticos, se estará a lo dispuesto por la legislación electoral del Estado"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,Los Atentados al Desarrollo Urbano Ordenado consisten en:
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"I. Fraccionar o dividir en lotes un predio rústico o urbano, propio o ajeno, sin contar con el permiso de la autoridad administrativa correspondiente, estatal o municipal, o sin atender los lineamientos o especificaciones del permiso que se haya obtenido, con el objeto de transferir la propiedad, la posesión o cualquier otro derecho sobre el;"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"II. Comercializar lotes, rústicos o urbanos, que hayan sido fraccionados o divididos sin contar con el permiso de la autoridad administrativa correspondiente, estatal o municipal, o sin haber atendido los lineamientos o especificaciones del permiso que se haya obtenido;"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"III. Facilitar la ocupación de lotes, rústicos o urbanos, sin haberse regularizado o realizado los trámites necesarios para la debida prestación de los servicios públicos, a cargo de las autoridades administrativas o municipales correspondientes;"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"IV. Expedir el servidor público licencia o permiso de uso de suelo, u ordenar la prestación de servicios públicos en lotes de terreno, rústicos o urbanos, previamente fraccionados o divididos, sin haberse cubierto los requisitos que la ley de la materia exige, o los expida sin tener la facultad legal para ello; o"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"V. Realizar, directamente o por medio de un tercero, obras de urbanización o de construcción de fraccionamientos, condominios o desarrollos especiales o cualquiera edificación, sin respetar las restricciones establecidas en la constancia de compatibilidad urbanística, cuando:"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"a) Estén ubicadas en discontinuidades geológicas, márgenes de ríos o arroyos, zonas de restricción de líneas de alta tensión de energía eléctrica, oleoductos o poliductos, o bien, zonas inundables, de deslaves o derrumbes;"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"b) Generen inestabilidad en laderas, zonas de pozos, cavernas, minas, o de derechos de vía de carreteras o ferrocarril;"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"c) Estén ubicadas en zonas bajo la influencia de depósitos de residuos peligrosos, confinamiento de desechos industriales o rellenos sanitarios;"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"d) Estén ubicados en zonas de salvaguarda, de amortiguamiento entorno a la infraestructura, equipamientos o instalaciones de Seguridad Nacional, o en zonas federales; o"
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado, Estén ubicadas en polígonos de protección.
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"Al responsable de Atentados al Desarrollo Urbano Ordenado se le aplicarán de 5 a 15 años de prisión y de 300 a 1000 días multa, y al pago de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 155. Atentados al desarrollo urbano ordenado,"En el caso previsto dentro de la Fracción I, es decir, en el supuesto del propietario de un predio rústico y/o urbano, que no cuenta con el permiso de la autoridad administrativa correspondiente, o sin atender los lineamientos o especificaciones del permiso obtenido, con el único objeto de ocuparlo y no de transferir la propiedad, posesión o cualquier otro derecho sobre él, será responsable de atentados al desarrollo urbano ordenado y se aplicaran de 2 a 5 años de prisión y de 100 a 500 días multa. Además de reparar a su costa el daño causado, devolviendo las cosas al estado que guardaban"
Código Penal AguascalientesArtículo 156. Responsabilidad técnica y profesional,"La Responsabilidad Técnica y Profesional consiste en el incumplimiento de las obligaciones sobre la materia correspondiente, a cargo de profesionistas o técnicos y sus auxiliares, cuando provoquen daño o afectación en otra persona."
Código Penal AguascalientesArtículo 156. Responsabilidad técnica y profesional,"Al responsable de la comisión de la presente figura típica se le aplicarán de 6 meses a 3 años de prisión, de 10 a 50 días multa, al pago total de la reparación de los daños y perjuicios ocasionados, y suspensión del ejercicio profesional correspondiente de 6 meses a 1 año."
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,La Responsabilidad Profesional Médica consiste en:
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"I. Otorgar responsiva para hacerse cargo de la atención de algún lesionado o persona afectada de su salud, y abandonarlo en su tratamiento sin causa justificada, o no cumplir con las obligaciones que al respecto se establecen en la normatividad aplicable, respecto de las víctimas de hechos punibles;"
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"II. No recabar la autorización del paciente o de la persona que deba otorgarla, salvo en los casos de urgencia debidamente comprobada, cuando se trate de practicar alguna operación quirúrgica que por su naturaleza ponga en peligro la vida del enfermo, cause pérdida de un miembro o ataque la integridad de una función vital;"
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,III. Practicar una intervención quirúrgica innecesaria;
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"IV. Ejercer la profesión, y sin motivo justificado, negarse a prestar asistencia a un enfermo en caso de notoria urgencia, poniendo en peligro la vida o la salud de dicho enfermo, cuando éste por las circunstancias del caso, no pudiera recurrir a otro médico o a un servicio de salud, o abandonar sin causa justificada a la persona de cuya asistencia esté encargado;"
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,V. Certificar falsamente que una persona tiene una enfermedad u otro impedimento bastante para dispensarla de cumplir una obligación que la ley impone o para adquirir algún derecho;
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,VI. Suministrar un medicamento evidentemente inapropiado con perjuicio de la salud del paciente;
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,VII. Expedir recetas para la adquisición de sustancias psicotrópicas cuyo empleo no sea para fines curativos;
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,VIII. Utilizar un óvulo o esperma para procrear sin que quien lo produjo otorgue su consentimiento o con su consentimiento tratándose de un menor de dieciocho años de edad o incapaz de comprender el significado del hecho;
Código Penal AguascalientesArtículo 157. Responsabilidad profesional médica,"IX. Incumplir o dejar de realizar los actos o los protocolos necesarios para la atención médica a la mujer durante el embarazo, parto, puerperio o emergencias obstétricas;"
